link_id	mass_base	mass_prev	mass_new	boost	tier_prev	tier_new	top_contributor_link_id
bcbd6ab4-b034-4580-9903-77d39c560e29	0.985	0.985	1.649	0.663	link	link	29826d4e-37ee-4b03-8b89-7981b1a547ae
70af8928-b1c2-4ae0-8d92-86c66e8ade43	1.010	1.010	2.361	1.351	link	link	2aa3091a-c56b-46cc-be95-34bb955758d3
6bf0b560-ed82-4c44-b8ce-14300bcfe835	1.054	1.054	1.630	0.577	link	link	39f95dbf-f3eb-459b-b975-bfc122149628
9cf30066-f9a0-4abe-b138-bee0e74aa87f	1.703	1.703	1.999	0.296	link	link	f3676488-3272-4ede-ae3a-52c8f60c6024
7c6a54b0-7d6d-4f91-a161-c367b0f16e44	1.600	1.600	1.600	0.000	link	link	
7026143c-2ae1-4ed3-98b7-9cb859da4e77	1.253	1.253	4.503	3.251	link	link	42826b9f-abfa-479c-b6a7-f89792892c56
42826b9f-abfa-479c-b6a7-f89792892c56	1.904	1.904	4.447	2.542	link	link	7026143c-2ae1-4ed3-98b7-9cb859da4e77
4d9f08a7-ba5a-42a3-a315-d64fa75b0592	1.053	1.053	2.156	1.103	link	link	96e9866d-d6a9-4aed-b025-18c33eeb98bd
3d552445-b5e3-4cf5-8085-37210ceabfee	2.065	2.065	2.786	0.721	link	link	4027bd9e-2216-469d-bb61-d277920cd9cd
f2329d2b-488e-463a-848e-f1206289b5d8	1.233	1.233	3.108	1.875	link	link	127a04fa-253a-4ddf-84d4-f1faa20206b2
27575df1-a8f3-48dd-ad82-60c8da4f9500	1.681	1.681	2.374	0.693	link	link	de607b08-77ac-47df-a859-4d6839e97407
9ed37619-2f42-4627-ac53-0e0768eb1e7d	1.156	1.156	2.128	0.972	link	link	81d4d1d4-0962-49ed-a610-319e3d5fc044
81d4d1d4-0962-49ed-a610-319e3d5fc044	1.202	1.202	2.137	0.935	link	link	9ed37619-2f42-4627-ac53-0e0768eb1e7d
9511bbc6-c62e-4a72-bb17-93226565e37c	1.398	1.398	4.400	3.002	link	link	17dcd45c-be78-4194-bfe3-de8d4251350d
20295f0e-9fce-4ccc-85d2-099cee61af98	1.053	1.053	1.594	0.542	link	link	33d70d59-662d-4ee6-aed1-f90dd058575f
53a19fab-3153-455b-b473-a23d83831401	0.982	0.982	1.293	0.311	link	link	046f0c43-26c3-447e-a8ba-65200700370f
ca30e772-7096-40eb-98d4-68051c0ec949	1.889	1.889	3.927	2.037	link	link	d27bfdfb-29ef-4a7a-b5ce-70853b7ac2c6
0843a2c0-7a29-4963-aca1-7ad8615dee8d	0.900	0.900	0.900	0.000	link	link	
0ed74c20-a5eb-45bc-b3dc-d2365666d9ca	0.930	0.930	1.909	0.979	link	link	554aba7c-6e38-4652-ba21-7fc873169eb1
bd241144-4f27-448b-8972-d50b6e4c2e18	1.012	1.012	1.667	0.655	link	link	1feb00fb-8501-4970-96ac-ca2ad7f9777c
127a04fa-253a-4ddf-84d4-f1faa20206b2	1.827	1.827	3.423	1.596	link	link	f2329d2b-488e-463a-848e-f1206289b5d8
0d1cf4a4-5d9a-4d6a-8f70-585d42cd9936	0.982	0.982	3.189	2.207	link	link	9417c4e4-6175-47fd-a671-4febe2880c13
692e15e6-2b15-4855-be62-8d1d75608c72	0.885	0.885	1.320	0.435	link	link	e7e38e52-d07c-4ede-9ce5-a963b7a351d2
4e5d4cc3-f67f-4ec1-bdf9-93d534172246	0.829	0.829	1.164	0.335	link	link	fb708ea6-0b4b-4173-886f-ec803ed780ad
7a8e4d6d-62bf-4e62-8362-fbe9ded5fbc2	1.044	1.044	4.305	3.260	link	link	c23f6842-bcb5-4c38-9119-ef8494f6e5d7
18b83170-3fbb-4c4a-bc13-8aaed6f4583c	0.998	0.998	2.897	1.899	link	link	cf7d3705-d177-493c-8ebb-ba3510bc6e8d
bfdf4854-fa49-4c9e-b4a5-964a1093e816	1.505	1.505	1.505	0.000	link	link	
2aa3091a-c56b-46cc-be95-34bb955758d3	0.959	0.959	2.924	1.965	link	link	70af8928-b1c2-4ae0-8d92-86c66e8ade43
810cfd5e-86e0-4c3d-8910-101e5c41eb7c	0.787	0.787	0.787	0.000	link	link	
a93be689-6b6a-4e7d-95d6-49cf36f091e7	0.827	0.827	1.488	0.660	link	link	d454a047-7f96-4e46-b9fa-ab6a7bd3ad24
a97dacd1-1474-4e18-9a6d-0dbe74818ef2	1.563	1.563	1.563	0.000	link	link	
3783fe38-8a9b-4d1a-aa91-fba635005d04	0.862	0.862	1.117	0.255	link	link	458a9fc2-c544-46e3-bcc4-955548a73de1
f11dda63-656d-4e71-99cb-c74c93e337b6	0.880	0.880	1.812	0.932	link	link	6a90cded-b2a5-48ac-980b-7e99e8d2093e
342aad81-bb41-4643-9859-e8c221826d32	1.788	1.788	7.179	5.390	link	link	81a0ba3d-6a0c-44d4-b733-fa4baf7499bc
96e9866d-d6a9-4aed-b025-18c33eeb98bd	1.221	1.221	5.992	4.770	link	link	81a0ba3d-6a0c-44d4-b733-fa4baf7499bc
27d339b5-7480-482c-a472-8b52d5c4d78a	0.905	0.905	1.729	0.825	link	link	0f4474f2-a50b-4bd7-aa4c-b9abbfcf25c7
668fc0dc-2f79-4369-a455-3454e03d6c2b	0.930	0.930	1.803	0.873	link	link	75d7cd90-8c1c-4fbd-a488-34c22074c469
75d7cd90-8c1c-4fbd-a488-34c22074c469	0.920	0.920	2.103	1.184	link	link	6d45a15f-999b-4602-9caf-91651e97750b
6d45a15f-999b-4602-9caf-91651e97750b	1.046	1.046	2.582	1.536	link	link	03466c7b-c9e4-48dd-b764-6d68b02049c5
03466c7b-c9e4-48dd-b764-6d68b02049c5	1.828	1.828	2.364	0.536	link	link	6d45a15f-999b-4602-9caf-91651e97750b
988c05d5-c93f-47d9-8d49-816f72aa9ccf	1.754	1.754	2.436	0.682	link	link	117d3999-59c8-475a-aafd-5bac1142cbb7
17dcd45c-be78-4194-bfe3-de8d4251350d	1.850	1.850	5.544	3.693	link	link	9511bbc6-c62e-4a72-bb17-93226565e37c
667d5602-0bff-41fb-aace-67e1e24b9dd9	0.999	0.999	2.246	1.247	link	link	25e72890-5f44-4bd2-9bd1-eb4812d93102
f55b33d7-d96a-41fb-ba84-56af1e27e71b	0.767	0.767	1.548	0.781	link	link	4eea71d1-20f3-46af-8d16-3e242ce9ad14
b0a8ea10-14ad-43a2-a3f7-cea38c74740e	0.859	0.859	1.285	0.426	link	link	bfee0b3f-f6d8-4f0b-a2b6-9790114249ab
b741aaa0-7f69-44be-a50e-801ececef9ec	1.135	1.135	4.009	2.874	link	link	d27bfdfb-29ef-4a7a-b5ce-70853b7ac2c6
4c51bc38-f31d-419c-8ac8-16e90002b472	1.972	1.972	3.656	1.684	link	link	11cd8d35-9d20-496d-937e-6e48e1f04829
ca5725ed-069d-4441-bd92-ba391029c106	1.099	1.099	3.094	1.995	link	link	b66188ab-1a66-4365-8cbe-5cdaf69317e3
1bd320eb-7115-40b1-81e9-c10f717f3f75	1.150	1.150	3.773	2.623	link	link	e7d5d9c9-ed6c-41b5-a56b-1df5a1dcd45b
e7d5d9c9-ed6c-41b5-a56b-1df5a1dcd45b	1.699	1.699	3.462	1.763	link	link	4075e064-ec4e-4481-a413-25531b3c6b22
554aba7c-6e38-4652-ba21-7fc873169eb1	0.832	0.832	1.608	0.776	link	link	0ed74c20-a5eb-45bc-b3dc-d2365666d9ca
172433a5-2a26-4911-89dc-e073b63a7336	1.474	1.474	2.336	0.862	link	link	05324450-047f-4664-bf56-42ba95606669
7c62d59c-8bd1-41a9-b9c5-33107267b9b3	0.650	0.650	0.650	0.000	link	link	
cc56334a-4455-4a29-bb82-2892d996cd5a	0.693	0.693	1.088	0.394	link	link	983dd73f-8341-430b-bf2c-655b4670c871
1a512002-f84b-408f-a61b-5727882beb23	0.787	0.787	1.712	0.925	link	link	1614259e-c197-4542-b694-0c4ad173693b
3046803e-bc6a-48ef-8a9f-220b2d77cd33	0.793	0.793	1.959	1.166	link	link	bbae1c6c-7c71-4f53-9a2f-b8a5f4ee03ec
9392d3b2-1dc9-4a6c-b90f-0d0ad44277ef	0.760	0.760	2.115	1.356	link	link	d9e864a3-ecf6-4438-b2d7-3291146cd19b
8624301c-dcfd-4f37-b22b-0f4c4769f683	0.450	0.450	0.450	0.000	link	link	
0f2f8062-4fa9-4f83-bb9d-94b0bca4172e	0.450	0.450	1.019	0.569	link	link	74fe86e5-eee8-4bcd-a2a6-bab074f7bc90
74fe86e5-eee8-4bcd-a2a6-bab074f7bc90	0.505	0.505	1.153	0.648	link	link	eebbf5b8-87f1-44e6-9257-83b7e85a6d76
eebbf5b8-87f1-44e6-9257-83b7e85a6d76	0.491	0.491	1.070	0.580	link	link	74fe86e5-eee8-4bcd-a2a6-bab074f7bc90
b9a13d08-abed-4b2d-b149-c0d9ba30393a	0.450	0.450	0.450	0.000	link	link	
9d98abe7-28a0-409c-ac90-bf328c85a5d4	0.549	0.549	0.942	0.393	link	link	0d1cf4a4-5d9a-4d6a-8f70-585d42cd9936
392ec4e4-4772-4917-9f97-8cc7712947cd	0.639	0.639	3.060	2.421	link	link	9417c4e4-6175-47fd-a671-4febe2880c13
9417c4e4-6175-47fd-a671-4febe2880c13	1.224	1.224	3.079	1.855	link	link	0d1cf4a4-5d9a-4d6a-8f70-585d42cd9936
9d237644-f20e-49ec-8bda-7030dacec0c2	0.691	0.691	2.967	2.277	link	link	9417c4e4-6175-47fd-a671-4febe2880c13
05324450-047f-4664-bf56-42ba95606669	0.683	0.683	1.813	1.130	link	link	172433a5-2a26-4911-89dc-e073b63a7336
edaf8d67-d0a2-44bf-bccf-978915a511b4	0.683	0.683	2.834	2.152	link	link	172433a5-2a26-4911-89dc-e073b63a7336
c966746f-cecc-460a-b7c4-27a9925dd7c4	0.726	0.726	2.239	1.513	link	link	9af4de25-386e-4de8-875d-fdc4ed2292b4
9af4de25-386e-4de8-875d-fdc4ed2292b4	0.725	0.725	2.283	1.558	link	link	c966746f-cecc-460a-b7c4-27a9925dd7c4
7d8932ab-bb21-40cd-99bb-58f3eb0b372f	0.636	0.636	2.352	1.717	link	link	9af4de25-386e-4de8-875d-fdc4ed2292b4
e7e38e52-d07c-4ede-9ce5-a963b7a351d2	0.630	0.630	1.532	0.902	link	link	692e15e6-2b15-4855-be62-8d1d75608c72
317a4fa5-7d6b-42e3-8f27-dcb9bc07aa28	0.594	0.594	1.010	0.417	link	link	bf0d6f03-427a-4304-9829-1caba7d578c3
bf0d6f03-427a-4304-9829-1caba7d578c3	0.599	0.599	1.012	0.413	link	link	317a4fa5-7d6b-42e3-8f27-dcb9bc07aa28
a8e838f2-ba3d-4fb0-af62-665fec8bcf96	0.643	0.643	2.147	1.504	link	link	5d965d81-5804-4d15-8fe3-dadc46eb4efe
3abdfa03-f873-4812-b7b9-c49962afa844	0.665	0.665	2.968	2.302	link	link	5d965d81-5804-4d15-8fe3-dadc46eb4efe
b69643cf-0cce-494c-8041-bd4804448530	0.658	0.658	3.012	2.354	link	link	5d965d81-5804-4d15-8fe3-dadc46eb4efe
5d965d81-5804-4d15-8fe3-dadc46eb4efe	0.732	0.732	2.979	2.247	link	link	3abdfa03-f873-4812-b7b9-c49962afa844
faac8167-3685-4d60-8894-aee15d2a1f1b	0.605	0.605	2.502	1.897	link	link	16553bf2-bb59-4894-aa63-b80a1714351e
16553bf2-bb59-4894-aa63-b80a1714351e	0.677	0.677	2.351	1.674	link	link	faac8167-3685-4d60-8894-aee15d2a1f1b
29fd9e06-d6c7-47d4-9171-6d272f4eb682	0.644	0.644	1.819	1.175	link	link	d850c055-7aa2-4652-ad66-7e01abd0282f
c8534780-767c-4670-92d2-6d31e69af91e	0.951	0.951	3.850	2.899	link	link	5a8de067-ae95-4b87-8f2e-a608371bf51c
d850c055-7aa2-4652-ad66-7e01abd0282f	0.709	0.709	1.688	0.978	link	link	29fd9e06-d6c7-47d4-9171-6d272f4eb682
5a8de067-ae95-4b87-8f2e-a608371bf51c	1.773	1.773	4.072	2.298	link	link	c8534780-767c-4670-92d2-6d31e69af91e
a5a2c5e4-eff9-4830-8a27-c030ca79a41a	0.930	0.930	4.258	3.329	link	link	5a8de067-ae95-4b87-8f2e-a608371bf51c
fae7e380-065f-4665-a980-07f7da2396eb	0.950	0.950	3.860	2.910	link	link	5a8de067-ae95-4b87-8f2e-a608371bf51c
ee8d6411-37e6-4241-af4b-18f2f62a5446	1.857	1.857	3.979	2.121	link	link	c24adfe9-c04e-4deb-9805-2f6d8122310c
c24adfe9-c04e-4deb-9805-2f6d8122310c	1.580	1.580	4.077	2.497	link	link	ee8d6411-37e6-4241-af4b-18f2f62a5446
af90305c-8bec-4bd5-8d59-abece52b2cfe	0.954	0.954	3.877	2.923	link	link	c24adfe9-c04e-4deb-9805-2f6d8122310c
