left_id	right_id	left_center	right_center	center_distance	lexical_score	strength_bridge
b66188ab-1a66-4365-8cbe-5cdaf69317e3+1bd320eb-7115-40b1-81e9-c10f717f3f75	4075e064-ec4e-4481-a413-25531b3c6b22+e7d5d9c9-ed6c-41b5-a56b-1df5a1dcd45b	1861.000000	1869.000000	8.000000	0.197183	1.322185
9ed37619-2f42-4627-ac53-0e0768eb1e7d+81d4d1d4-0962-49ed-a610-319e3d5fc044	988c05d5-c93f-47d9-8d49-816f72aa9ccf+117d3999-59c8-475a-aafd-5bac1142cbb7	1475.000000	1486.000000	11.000000	0.220000	1.297296
39f95dbf-f3eb-459b-b975-bfc122149628	a8361df1-5565-4c5e-8237-7b513c56a7d2+728b49ba-def7-47b8-b21d-efa5b6fb603c	871.000000	884.000000	13.000000	0.229167	1.258423
bbae1c6c-7c71-4f53-9a2f-b8a5f4ee03ec+9c7521da-ffdd-49cd-a644-e77d5928689e	557e249e-1266-4ff6-8e3e-e26698f055f3+12cb132b-8882-458f-9dfb-378dfd40da62	1569.000000	1572.000000	3.000000	0.125000	1.242162
c8534780-767c-4670-92d2-6d31e69af91e+ee8d6411-37e6-4241-af4b-18f2f62a5446	c24adfe9-c04e-4deb-9805-2f6d8122310c+af90305c-8bec-4bd5-8d59-abece52b2cfe	335.000000	346.000000	11.000000	0.180556	1.226225
75d7cd90-8c1c-4fbd-a488-34c22074c469	6d45a15f-999b-4602-9caf-91651e97750b+03466c7b-c9e4-48dd-b764-6d68b02049c5	1325.000000	1330.000000	5.000000	0.112676	1.202019
0dc1abc8-9aa8-418f-8b67-f4226893b976+019cb20c-aae2-4848-ac64-5ae94ec41df3	559811d7-c6e4-4390-9aef-856d4e7eede7+82896759-e99b-491a-980f-a35aabeeafe6	1233.000000	1244.000000	11.000000	0.166667	1.201200
3736c7b2-3055-42cf-8eaa-09554311ba65+42826b9f-abfa-479c-b6a7-f89792892c56	b0175a00-c65b-4365-8256-f3e6fecfbf7b+7026143c-2ae1-4ed3-98b7-9cb859da4e77	1206.000000	1212.000000	6.000000	0.117647	1.200490
9511bbc6-c62e-4a72-bb17-93226565e37c+71c967d2-b3c3-4bed-9dad-2ce78db74e81	50c01b24-070c-4398-be08-dd799ac54102+7ea93f3d-d20a-48bc-806f-e24055e0e0e5	1495.000000	1501.000000	6.000000	0.117647	1.200490
d95fe032-6714-419d-9c1f-5d7c8db14766+ba721fdf-eb75-4c27-b520-dfe419417cd2	33d70d59-662d-4ee6-aed1-f90dd058575f+20295f0e-9fce-4ccc-85d2-099cee61af98	1588.000000	1602.000000	14.000000	0.211538	1.198897
a8e838f2-ba3d-4fb0-af62-665fec8bcf96+3abdfa03-f873-4812-b7b9-c49962afa844	5d965d81-5804-4d15-8fe3-dadc46eb4efe+16553bf2-bb59-4894-aa63-b80a1714351e	305.000000	308.000000	3.000000	0.100000	1.192476
da52fa2a-ba7e-4289-a117-cb3c8fcdc564	a84962ad-9529-4465-b41d-fb487bb567f4+cca70865-5cff-4187-aa50-56ed93e76192	1416.000000	1417.000000	1.000000	0.095238	1.189807
400bdd3c-77cb-4f41-849c-92dfa4c24032+c23f6842-bcb5-4c38-9119-ef8494f6e5d7	5ea3845b-9e0c-4151-b3fc-5e01f99b8b2d+2a9b7233-64c2-4d35-9c74-efcabd60494d	521.000000	528.000000	7.000000	0.118421	1.188476
bcbd6ab4-b034-4580-9903-77d39c560e29+29826d4e-37ee-4b03-8b89-7981b1a547ae	5e22240d-0e35-4388-ad0f-664db22f5ded+bfdf4854-fa49-4c9e-b4a5-964a1093e816	616.000000	626.000000	10.000000	0.141026	1.177065
ac0c96bc-53f4-4fe5-ba71-196cfa3298e1+f5e4da7f-221b-40cc-b710-7103af011701	0f88535c-8ffa-419d-a064-bf455b3c10a6	2018.000000	2024.000000	6.000000	0.105263	1.176420
3d552445-b5e3-4cf5-8085-37210ceabfee+6eaafc35-86c6-439f-9520-7b4a245da7de	4027bd9e-2216-469d-bb61-d277920cd9cd+a465dcf6-f9b6-4d3b-adeb-0799959e793f	1347.000000	1349.000000	2.000000	0.085106	1.167195
edaf8d67-d0a2-44bf-bccf-978915a511b4+c966746f-cecc-460a-b7c4-27a9925dd7c4	9af4de25-386e-4de8-875d-fdc4ed2292b4+7d8932ab-bb21-40cd-99bb-58f3eb0b372f	263.000000	267.000000	4.000000	0.080000	1.146379
975ffcf7-35e9-44d4-86b5-9606ca311ee4+c3d5d58f-2812-4fd8-8bbe-6b054288b66b	8f33a2c1-be3a-43fb-9f26-f205234964d0+3c30db30-1f6a-4ac9-97fa-8f0a309e98b2	1098.000000	1105.000000	7.000000	0.095238	1.143923
